id,id_set,first_name,last_name,cd_country,cd_state_assoc,age,cd_player_role,cd_batting_style,cd_bowling_style,in_cap,in_overseas,cd_team,am_base_rupees,am_base_dollar,dc_category,dc_status
1,RT,Ruturaj,Gaikwad,IND,MACA,28,BAT,RHB,RIGHT ARM Off Spin,1,0,CSK,180000000,2163461.538,IPL Retaintion,Retained
2,RT,Ravindra,Jadeja,IND,SCA,36,ALL,LHB,LEFT ARM Orthodox,1,0,CSK,180000000,2163461.538,IPL Retaintion,Retained
3,RT,Matheesha,Pathirana,SL,OVS,22,BWL,RHB,RIGHT ARM Fast Medium,1,0,CSK,130000000,1562500,IPL Retaintion,Retained
4,RT,Shivam,Dube,IND,MCA,32,BAT,LHB,RIGHT ARM Medium,1,0,CSK,120000000,1442307.692,IPL Retaintion,Retained
5,RT,MS,Dhoni,IND,JSCA,44,WK,RHB,RIGHT ARM Medium,0,0,CSK,40000000,480769.2308,IPL Retaintion,Retained
6,RT,Axar,Patel,IND,GUCA,31,BWL,LHB,LEFT ARM Orthodox,1,0,DC,165000000,1983173.077,IPL Retaintion,Retained
7,RT,Kuldeep,Yadav,IND,UPCA,30,BWL,LHB,LEFT ARM Leg Spin,1,0,DC,132500000,1592548.077,IPL Retaintion,Retained
8,RT,Tristan,Stubbs,SA,OVS,24,BAT,RHB,,1,1,DC,100000000,1201923.077,IPL Retaintion,Retained
9,RT,Abishek,Porel,IND,CAB,30,WK,LHB,,0,0,DC,40000000,480769.2308,IPL Retaintion,Retained
10,RT,Rashid,Khan,AFG,OVS,27,BWL,RHB,RIGHT ARM Leg Spin,1,1,GT,180000000,2163461.538,IPL Retaintion,Retained
11,RT,Shubman,Gill,IND,PCA,26,BAT,RHB,RIGHT ARM Off Spin,1,0,GT,165000000,1983173.077,IPL Retaintion,Retained
12,RT,Sai,Sudharsan,IND,TNCA,26,BAT,LHB,,1,0,GT,85000000,1021634.615,IPL Retaintion,Retained
13,RT,Rahul,Tewatia,IND,RCA,34,ALL,LHB,RIGHT ARM Off Spin,0,0,GT,40000000,480769.2308,IPL Retaintion,Retained
14,RT,Shahrukh,Khan,IND,TNCA,30,BAT,RHB,RIGHT ARM Medium,0,0,GT,40000000,480769.2308,IPL Retaintion,Retained
15,RT,Rinku,Singh,IND,UPCA,28,BAT,LHB,,1,0,KKR,130000000,1562500,IPL Retaintion,Retained
16,RT,Varun,Chakaravarthy,IND,TNCA,34,BWL,RHB,RIGHT ARM Off Spin,1,0,KKR,120000000,1442307.692,IPL Retaintion,Retained
17,RT,Sunil,Narine,WI,OVS,36,ALL,LHB,RIGHT ARM Off Spin,1,1,KKR,120000000,1442307.692,IPL Retaintion,Retained
18,RT,Andre,Russell,WI,OVS,36,ALL,RHB,RIGHT ARM Fast Medium,1,1,KKR,120000000,1442307.692,IPL Retaintion,Retained
19,RT,Harshit,Rana,IND,DDCA,23,BWL,RHB,RIGHT ARM Fast Medium,0,0,KKR,40000000,480769.2308,IPL Retaintion,Retained
20,RT,Ramandeep,Singh,IND,PCA,31,BAT,RHB,RIGHT ARM Medium,0,0,KKR,40000000,480769.2308,IPL Retaintion,Retained
21,RT,Nicholas,Pooran,WI,OVS,30,WK,LHB,,1,1,LSG,210000000,2524038.462,IPL Retaintion,Retained
22,RT,Ravi,Bishnoi,IND,RCA,25,BWL,RHB,RIGHT ARM Leg Spin,1,0,LSG,110000000,1322115.385,IPL Retaintion,Retained
23,RT,Mayank,Yadav,IND,DDCA,30,BWL,RHB,RIGHT ARM Fast Medium,1,0,LSG,110000000,1322115.385,IPL Retaintion,Retained
24,RT,Mohsin,Khan,IND,UPCA,24,BWL,LHB,LEFT ARM Fast Medium,0,0,LSG,40000000,480769.2308,IPL Retaintion,Retained
25,RT,Ayush,Badoni,IND,UPCA,26,BAT,RHB,RIGHT ARM Off Spin,0,0,LSG,40000000,480769.2308,IPL Retaintion,Retained
26,RT,Jasprit,Bumrah,IND,GUCA,32,BWL,RHB,RIGHT ARM Fast,1,0,MI,180000000,2163461.538,IPL Retaintion,Retained
27,RT,Suryakumar,Yadav,IND,MCA,35,BAT,RHB,,1,0,MI,163500000,1965144.231,IPL Retaintion,Retained
28,RT,Hardik,Pandya,IND,BCA,32,ALL,RHB,RIGHT ARM Fast Medium,1,0,MI,163500000,1965144.231,IPL Retaintion,Retained
29,RT,Rohit,Sharma,IND,MCA,38,BAT,RHB,RIGHT ARM Off Spin,1,0,MI,163000000,1959134.615,IPL Retaintion,Retained
30,RT,Tilak,Varma,IND,HYCA,22,BAT,LHB,RIGHT ARM Off Spin,1,0,MI,80000000,961538.4615,IPL Retaintion,Retained
31,RT,Shashank,Singh,IND,MCA,33,BAT,RHB,RIGHT ARM Off Spin,0,0,PBKS,55000000,661057.6923,IPL Retaintion,Retained
32,RT,Prabhsimran,Singh,IND,PCA,28,BAT,RHB,,0,0,PBKS,40000000,480769.2308,IPL Retaintion,Retained
33,RT,Sanju,Samson,IND,KCA,31,WK,RHB,,1,0,RR,180000000,2163461.538,IPL Retaintion,Retained
34,RT,Yashasvi,Jaiswal,IND,MACA,24,BAT,LHB,RIGHT ARM Leg Spin,1,0,RR,180000000,2163461.538,IPL Retaintion,Retained
35,RT,Riyan,Parag,IND,ASCA,27,BAT,RHB,RIGHT ARM Off Spin,1,0,RR,140000000,1682692.308,IPL Retaintion,Retained
36,RT,Dhruv,Jurel,IND,UPCA,26,WK,RHB,,1,0,RR,140000000,1682692.308,IPL Retaintion,Retained
37,RT,Shimron,Hetmyer,WI,OVS,31,BAT,LHB,,1,1,RR,110000000,1322115.385,IPL Retaintion,Retained
38,RT,Sandeep,Sharma,IND,UTCA,34,BWL,RHB,RIGHT ARM Fast Medium,1,0,RR,40000000,480769.2308,IPL Retaintion,Retained
39,RT,Virat,Kohli,IND,DDCA,37,BAT,RHB,RIGHT ARM Fast Medium,1,0,RCB,210000000,2524038.462,IPL Retaintion,Retained
40,RT,Rajat,Patidar,IND,MPCA,32,BAT,RHB,RIGHT ARM Off Spin,1,0,RCB,110000000,1322115.385,IPL Retaintion,Retained
41,RT,Yash,Dayal,IND,UPCA,26,BWL,RHB,RIGHT ARM Fast Medium,0,0,RCB,50000000,600961.5385,IPL Retaintion,Retained
42,RT,Heinrich,Klaasen,SA,OVS,35,BAT,RHB,,1,1,SRH,230000000,2764423.077,IPL Retaintion,Retained
43,RT,Pat,Cummins,AUS,OVS,31,BWL,RHB,RIGHT ARM Fast,1,1,SRH,180000000,2163461.538,IPL Retaintion,Retained
44,RT,Abhishek,Sharma,IND,PCA,30,ALL,LHB,LEFT ARM Orthodox,1,0,SRH,140000000,1682692.308,IPL Retaintion,Retained
45,RT,Travis,Head,AUS,OVS,32,BAT,LHB,RIGHT ARM Off Spin,1,1,SRH,140000000,1682692.308,IPL Retaintion,Retained
46,RT,Nitish,Kumar Reddy,IND,HYCA,27,ALL,RHB,RIGHT ARM Medium,1,0,SRH,60000000,721153.8462,IPL Retaintion,Retained
47,M1,Jos,Buttler,ENG,OVS,34,WK,RHB,RIGHT ARM Off Spin,1,1,NONE,20000000,240384.62,Capped Overseas Wicket Keeper - Diamond,To Be Auctioned
48,M1,Shreyas,Iyer,IND,MCA,30,BAT,RHB,RIGHT ARM Off Spin,1,0,NONE,20000000,240384.62,Capped Indian Batter - Diamond,To Be Auctioned
49,M1,Rishabh,Pant,IND,DDCA,27,BAT,LHB,RIGHT ARM Off Spin,1,0,NONE,20000000,240384.62,Capped Indian Batter - Diamond,To Be Auctioned
50,M1,Kagiso,Rabada,SA,OVS,29,BWL,RHB,RIGHT ARM Fast,1,1,NONE,20000000,240384.62,Capped Overseas Bowler - Diamond,To Be Auctioned
51,M1,Arshdeep,Singh,IND,PCA,26,BWL,LHB,LEFT ARM Fast Medium,1,0,NONE,20000000,240384.62,Capped Indian Bowler - Diamond,To Be Auctioned
52,M1,Mitchell,Starc,AUS,OVS,35,BWL,LHB,LEFT ARM Fast,1,1,NONE,20000000,240384.62,Capped Overseas Bowler - Diamond,To Be Auctioned
53,M2,Yuzvendra,Chahal,IND,HCA,34,BWL,RHB,RIGHT ARM Leg Spin,1,0,NONE,20000000,240384.62,Capped Indian Bowler - Diamond,To Be Auctioned
54,M2,Liam,Livingstone,ENG,OVS,31,ALL,RHB,RIGHT ARM Leg Spin,1,1,NONE,20000000,240384.62,Capped Overseas All Rounder - Diamond,To Be Auctioned
55,M2,David,Miller,SA,OVS,35,BAT,LHB,,1,1,NONE,15000000,180288.46,Capped Overseas Batter - Diamond,To Be Auctioned
56,M2,KL,Rahul,IND,KSCA,32,WK,RHB,,1,0,NONE,20000000,240384.62,Capped Indian Wicket Keeper - Diamond,To Be Auctioned
57,M2,Mohammad,Shami,IND,CAB,34,BWL,RHB,RIGHT ARM Fast,1,0,NONE,20000000,240384.62,Capped Indian Bowler - Diamond,To Be Auctioned
58,M2,Mohammad,Siraj,IND,HYCA,31,BWL,RHB,RIGHT ARM Fast,1,0,NONE,20000000,240384.62,Capped Indian Bowler - Diamond,To Be Auctioned
59,BA1,Harry,Brook,ENG,OVS,26,BAT,RHB,RIGHT ARM Medium,1,1,NONE,20000000,240384.62,Capped Overseas Batter - Diamond,To Be Auctioned
60,BA1,Devon,Conway,NZ,OVS,33,BAT,LHB,,1,1,NONE,20000000,240384.62,Capped Overseas Batter - Diamond,To Be Auctioned
61,BA1,Jake,Fraser-Mcgurk,AUS,OVS,22,BAT,RHB,,1,1,NONE,20000000,240384.62,Capped Overseas Batter - Diamond,To Be Auctioned
62,BA1,Aiden,Markram,SA,OVS,30,BAT,RHB,RIGHT ARM Off Spin,1,1,NONE,20000000,240384.62,Capped Overseas Batter - Diamond,To Be Auctioned
63,BA1,Devdutt,Padikkal,IND,KSCA,24,BAT,LHB,,1,0,NONE,20000000,240384.62,Capped Indian Batter - Diamond,To Be Auctioned
64,BA1,Rahul,Tripathi,IND,MACA,34,BAT,RHB,RIGHT ARM Medium,1,0,NONE,7500000,90144.23,Capped Indian Batter - Silver,To Be Auctioned
65,BA1,David,Warner,AUS,OVS,38,BAT,LHB,,1,1,NONE,20000000,240384.62,Capped Overseas Batter - Diamond,To Be Auctioned
66,AL1,Ravichandaran,Ashwin,IND,TNCA,38,ALL,RHB,RIGHT ARM Off Spin,1,0,NONE,20000000,240384.62,Capped Indian All Rounder - Diamond,To Be Auctioned
67,AL1,Venkatesh,Iyer,IND,MPCA,30,ALL,LHB,RIGHT ARM Medium,1,0,NONE,20000000,240384.62,Capped Indian All Rounder - Diamond,To Be Auctioned
68,AL1,Mitchell,Marsh,AUS,OVS,33,ALL,RHB,RIGHT ARM Fast,1,1,NONE,20000000,240384.62,Capped Overseas All Rounder - Diamond,To Be Auctioned
69,AL1,Glenn,Maxwell,AUS,OVS,36,ALL,RHB,RIGHT ARM Off Spin,1,1,NONE,20000000,240384.62,Capped Overseas All Rounder - Diamond,To Be Auctioned
70,AL1,Harshal,Patel,IND,HCA,34,ALL,RHB,RIGHT ARM Fast Medium,1,0,NONE,20000000,240384.62,Capped Indian All Rounder - Diamond,To Be Auctioned
71,AL1,Rachin,Ravindra,NZ,OVS,25,ALL,LHB,LEFT ARM Orthodox,1,1,NONE,15000000,180288.46,Capped Overseas All Rounder - Diamond,To Be Auctioned
72,AL1,Marcus,Stoinis,AUS,OVS,35,ALL,RHB,RIGHT ARM Fast,1,1,NONE,20000000,240384.62,Capped Overseas All Rounder - Diamond,To Be Auctioned
73,WK1,Jonny,Bairstow,ENG,OVS,35,WK,RHB,RIGHT ARM Medium,1,1,NONE,20000000,240384.62,Capped Overseas Wicket Keeper - Diamond,To Be Auctioned
74,WK1,Quinton,De Kock,SA,OVS,32,WK,LHB,,1,1,NONE,20000000,240384.62,Capped Overseas Wicket Keeper - Diamond,To Be Auctioned
75,WK1,Rahmanullah,Gurbaz,AFG,OVS,23,WK,RHB,,1,1,NONE,20000000,240384.62,Capped Overseas Wicket Keeper - Diamond,To Be Auctioned
76,WK1,Ishan,Kishan,IND,JSCA,26,WK,LHB,,1,0,NONE,20000000,240384.62,Capped Indian Wicket Keeper - Diamond,To Be Auctioned
77,WK1,Phil,Salt,ENG,OVS,28,WK,RHB,,1,1,NONE,20000000,240384.62,Capped Overseas Wicket Keeper - Diamond,To Be Auctioned
78,WK1,Jitesh,Sharma,IND,VCA,31,WK,RHB,,1,0,NONE,10000000,120192.31,Capped Indian Wicket Keeper - Gold,To Be Auctioned
79,FA1,Syed Khaleel,Ahmed,IND,RCA,27,BWL,RHB,LEFT ARM Fast Medium,1,0,NONE,20000000,240384.62,Capped Indian Bowler - Diamond,To Be Auctioned
80,FA1,Trent,Boult,NZ,OVS,35,BWL,RHB,LEFT ARM Fast Medium,1,1,NONE,20000000,240384.62,Capped Overseas Bowler - Diamond,To Be Auctioned
81,FA1,Josh,Hazlewood,AUS,OVS,34,BWL,LHB,RIGHT ARM Fast Medium,1,1,NONE,20000000,240384.62,Capped Overseas Bowler - Diamond,To Be Auctioned
82,FA1,Avesh,Khan,IND,MPCA,28,BWL,RHB,RIGHT ARM Fast,1,0,NONE,20000000,240384.62,Capped Indian Bowler - Diamond,To Be Auctioned
83,FA1,Prasidh,Krishna,IND,KSCA,29,BWL,RHB,RIGHT ARM Fast,1,0,NONE,20000000,240384.62,Capped Indian Bowler - Diamond,To Be Auctioned
84,FA1,T.,Natarajan,IND,TNCA,33,BWL,LHB,LEFT ARM Fast Medium,1,0,NONE,20000000,240384.62,Capped Indian Bowler - Diamond,To Be Auctioned
85,FA1,Anrich,Nortje,SA,OVS,31,BWL,RHB,RIGHT ARM Fast,1,1,NONE,20000000,240384.62,Capped Overseas Bowler - Diamond,To Be Auctioned
86,SP1,Noor,Ahmad,AFG,OVS,20,BWL,RHB,LEFT ARM Leg Spin,1,1,NONE,20000000,240384.62,Capped Overseas Bowler - Diamond,To Be Auctioned
87,SP1,Rahul,Chahar,IND,RCA,25,BWL,RHB,RIGHT ARM Leg Spin,1,0,NONE,10000000,120192.31,Capped Indian Bowler - Gold,To Be Auctioned
88,SP1,Wanindu,Hasaranga,SL,OVS,27,BWL,RHB,RIGHT ARM Leg Spin,1,1,NONE,20000000,240384.62,Capped Overseas Bowler - Diamond,To Be Auctioned
89,SP1,Waqar,Salamkheil,AFG,OVS,23,BWL,RHB,LEFT ARM Leg Spin,1,1,NONE,7500000,90144.23,Capped Overseas Bowler - Silver,To Be Auctioned
90,SP1,Maheesh,Theekshana,SL,OVS,24,BWL,RHB,RIGHT ARM Off Spin,1,1,NONE,20000000,240384.62,Capped Overseas Bowler - Diamond,To Be Auctioned
